I_rad,T_out,H_air,T_air,I_rad,T_out,H_air,T_air
52.7299,33.4,57.9,34.8,19.2062,30.4,64.8,30.8
55.5602,32.7,57.8,34.3,16.0439,30,65.5,30.5
51.3604,32.6,59.2,33.9,15.6372,29.8,65.5,30.2
54.1741,32.5,59.2,33.7,10.0181,29.6,64.1,30.5
66.2174,32.7,58.2,33.7,6.1503,29.5,64.1,30.5
52.4726,32.6,58.4,33.2,4.4488,29,65.7,29.8
55.5851,32.3,58.8,33.1,2.2493,28.9,66,29.6
51.1031,32.2,59.3,33.2,0.7304,29,65.9,29.7
41.9648,31.7,59.9,32.9,0.2241,28.9,66.1,29.4
21.7709,31.2,61.6,32,0.0996,28.8,65.9,29.5
20.2769,30.8,63.5,31.5,0,28.8,65.4,29.5
17.3138,30.4,63.5,31,0,28.7,65.8,29.4
19.2062,30.4,64.8,30.8,0,28.5,66,29.1
16.0439,30,65.5,30.5,0,28.4,65.9,29
15.6372,29.8,65.5,30.2,0,28.3,66.2,29.1
10.0181,29.6,64.1,30.5,0,28.4,66.5,29.1
6.1503,29.5,64.1,30.5,0,28.3,65.9,28.9
4.4488,29,65.7,29.8,0,28.3,65.4,29
2.2493,28.9,66,29.6,0,28.2,65,29
0.7304,29,65.9,29.7,0,27.9,64.8,28.9
0.2241,28.9,66.1,29.4,0,27.8,64.2,29
0.0996,28.8,65.9,29.5,0,27.2,64.7,28.3
0,28.8,65.4,29.5,0,26.8,64.6,27.8
0,28.7,65.8,29.4,0,26.6,65.2,27.4
0,28.5,66,29.1,0,26.5,64.5,27.2
0,28.4,65.9,29,0,26.6,64.2,27.2
0,28.3,66.2,29.1,0,26.7,64.1,27.3
0,28.4,66.5,29.1,0,25.8,64.9,27.1
0,28.3,65.9,28.9,0,25,66.3,26.8
0,28.3,65.4,29,0,25,68.2,26.3
0,28.2,65,29,0,24.8,68.6,26.4
0,27.9,64.8,28.9,0,24.7,69.4,26.5
0,27.8,64.2,29,0,24.1,69.6,26.3
0,27.2,64.7,28.3,0,24,70.5,26.2
0,26.8,64.6,27.8,0,22.9,74,25.6
0,26.6,65.2,27.4,0,22.3,78.1,24.5
0,26.5,64.5,27.2,0,22,81.5,23.9
0,26.6,64.2,27.2,0,21.8,82.1,23.8
0,26.7,64.1,27.3,0,21.7,82.2,23.8
0,25.8,64.9,27.1,0,21.6,83.5,23.9
0,25,66.3,26.8,0,21.5,83.9,24
0,25,68.2,26.3,0,21.4,84.2,23.8
0,24.8,68.6,26.4,0,21.3,84.5,23.9
0,24.7,69.4,26.5,0,21.2,84.6,23.9
0,24.1,69.6,26.3,0,21.2,85.4,23.7
0,24,70.5,26.2,0,21.3,85.1,23.8
0,22.9,74,25.6,0,21,83.8,23.6
0,22.3,78.1,24.5,0,20.8,84.7,23.4
0,22,81.5,23.9,0,20.8,84.3,23.3
0,21.8,82.1,23.8,0,20.8,85.3,23.1
0,21.7,82.2,23.8,0,20.9,84.8,23.1
0,21.6,83.5,23.9,0,20.9,86.3,23
0,21.5,83.9,24,0,21.1,85.6,23.2
0,21.4,84.2,23.8,0,21,86,23.2
