Irad,Tout,Hair,Tair,Irad,Tout,Hair,Tair
41.0563,27.1,79.8,29.7,119.9615,29.8,54.1,36.2
63.9663,27.2,78.9,29.9,125.531,30.4,51.7,36.8
59.2184,27.2,77,30.3,109.968,31.2,51.7,36.9
96.1351,27.6,73.6,31.1,97.4386,30.9,51.6,36.4
92.904,27.7,70.3,32.1,91.5847,31.5,52.1,36.1
97.6756,28.3,68,32.8,131.1479,32,52.7,36
105.702,28.2,65.4,33.5,125.1676,32.4,52.4,36.3
106.4999,28.3,64,34.1,163.6011,32.7,51.4,36.7
105.6309,28.4,61.8,34.6,194.9246,33.3,50.1,37.2
107.9456,28.8,60.6,34.8,97.8968,32.7,49.4,37.2
106.8554,29.4,58.7,35.2,167.4563,32.7,49.4,37.5
121.8891,29.8,56,35.9,176.0594,32.5,50.5,37.4
119.9615,29.8,54.1,36.2,175.459,33.3,49.4,38
125.531,30.4,51.7,36.8,155.3851,33.3,48.2,38.1
109.968,31.2,51.7,36.9,196.5836,33.4,47.9,38.3
97.4386,30.9,51.6,36.4,205.1867,33.7,47.2,38.6
91.5847,31.5,52.1,36.1,134.7582,32.9,47.2,38.7
131.1479,32,52.7,36,136.3224,33.9,46.7,38.9
125.1676,32.4,52.4,36.3,123.5323,33.6,47.6,38.5
163.6011,32.7,51.4,36.7,117.3387,33.4,47.7,38.1
194.9246,33.3,50.1,37.2,126.8345,33.6,48.9,38.1
97.8968,32.7,49.4,37.2,131.4323,34.7,47.9,37.8
167.4563,32.7,49.4,37.5,148.2751,35.1,48.1,38.3
176.0594,32.5,50.5,37.4,116.762,34.9,46.8,38.5
175.459,33.3,49.4,38,113.3176,34.5,46.9,38.3
155.3851,33.3,48.2,38.1,98.4024,34.6,47.5,37.7
196.5836,33.4,47.9,38.3,89.0488,35,49,37.4
205.1867,33.7,47.2,38.6,80.9276,35.9,50.1,37.2
134.7582,32.9,47.2,38.7,80.6906,36,50,36.9
136.3224,33.9,46.7,38.9,96.4985,35.3,52.7,36.9
123.5323,33.6,47.6,38.5,76.1402,35.1,53,37
117.3387,33.4,47.7,38.1,71.2422,35.5,54.2,36.8
126.8345,33.6,48.9,38.1,68.572,34.8,53.6,36.8
131.4323,34.7,47.9,37.8,81.5833,35.3,54,37.1
148.2751,35.1,48.1,38.3,134.4738,35.2,52.5,37.4
116.762,34.9,46.8,38.5,97.6282,35.3,49.5,37.9
113.3176,34.5,46.9,38.3,109.2886,35.2,50.1,38.2
98.4024,34.6,47.5,37.7,100.4722,34.5,49.2,38
89.0488,35,49,37.4,95.8981,35,46.8,38.3
80.9276,35.9,50.1,37.2,89.7282,34.2,47.7,38.1
80.6906,36,50,36.9,78.3522,35,47.2,37.9
96.4985,35.3,52.7,36.9,58.0176,36.5,47.5,37.9
76.1402,35.1,53,37,64.3771,37,47.7,37.7
71.2422,35.5,54.2,36.8,56.3507,36.3,48.7,37.1
