Irad,Tout,Hair,Tair,Irad,Tout,Hair,Tair
0,-3.5,77.93333333,2.4,0,2,77.86666667,3.1
0,-3.5,77.96666667,2.4,0,1.8,77.86666667,3.133333333
0,-0.9,78.23333333,2.433333333,0,1.7,77.43333333,3.2
0,0.9,78.8,2.533333333,0,1.5,77.56666667,3.233333333
0,0.3,79,2.633333333,0,1.3,77.3,3.266666667
0,-0.7,79.26666667,2.666666667,0,1.1,76.83333333,3.266666667
0,0.2,79.06666667,2.666666667,0,0.9,76.83333333,3.266666667
0,0.8,79,2.733333333,0,0.9,76.63333333,3.233333333
0,1.9,79.16666667,2.833333333,0,0.6,76.5,3.266666667
0,2.3,78.86666667,2.9,0,0.6,76.63333333,3.266666667
0,2.2,78.4,3,0,0.5,76.53333333,3.233333333
0,2,77.86666667,3.1,0,0.3,76.56666667,3.2
0,1.8,77.86666667,3.133333333,0,0.1,76.36666667,3.2
0,1.7,77.43333333,3.2,0,0,76.2,3.2
0,1.5,77.56666667,3.233333333,0,-0.1,76.23333333,3.133333333
0,1.3,77.3,3.266666667,0,-0.4,76.3,3.1
0,1.1,76.83333333,3.266666667,0,-0.5,75.73333333,3.033333333
0,0.9,76.83333333,3.266666667,0,-0.6,75.36666667,3.033333333
0,0.9,76.63333333,3.233333333,0,-0.6,75.36666667,2.966666667
0,0.6,76.5,3.266666667,0,-0.6,75.93333333,2.933333333
0,0.6,76.63333333,3.266666667,0,-0.7,75.86666667,2.933333333
0,0.5,76.53333333,3.233333333,0,-0.8,75.96666667,2.933333333
0,0.3,76.56666667,3.2,0,-0.6,75.88333333,2.883333333
0,0.1,76.36666667,3.2,0,-0.9,75.8,2.833333333
0,0,76.2,3.2,0,-0.7,75.8,2.833333333
0,-0.1,76.23333333,3.133333333,0,-0.9,75.73333333,2.766666667
0,-0.4,76.3,3.1,0,-0.8,75.56666667,2.8
0,-0.5,75.73333333,3.033333333,0,-1.2,75.53333333,2.733333333
0,-0.6,75.36666667,3.033333333,0,-1.4,75.5,2.666666667
0,-0.6,75.36666667,2.966666667,0,-1.5,75.73333333,2.633333333
0,-0.6,75.93333333,2.933333333,0,-1.5,75.66666667,2.633333333
0,-0.7,75.86666667,2.933333333,0,-1.4,75.9,2.533333333
0,-0.8,75.96666667,2.933333333,0.079,-1.6,75.9,2.5
0,-0.6,75.88333333,2.883333333,0.869,-2,75.8,2.466666667
0,-0.9,75.8,2.833333333,3.397,-2.3,75.46666667,2.433333333
0,-0.7,75.8,2.833333333,8.848,-2.1,75.56666667,2.366666667
0,-0.9,75.73333333,2.766666667,17.617,-2.2,75.53333333,2.466666667
0,-0.8,75.56666667,2.8,50.165,-2.4,73.16666667,3.266666667
0,-1.2,75.53333333,2.733333333,76.788,-2,72.33333333,3.7
0,-1.4,75.5,2.666666667,104.043,-1.6,70.73333333,4.433333333
0,-1.5,75.73333333,2.633333333,129.56,-1.3,71.03333333,4.533333333
0,-1.5,75.66666667,2.633333333,153.576,-0.8,69.43333333,5.366666667
0,-1.4,75.9,2.533333333,175.459,-0.2,63.8,6.333333333
0.079,-1.6,75.9,2.5,196.552,0.1,64.73333333,6.2
0.869,-2,75.8,2.466666667,216.934,0.5,64.3,6.633333333
3.397,-2.3,75.46666667,2.433333333,232.971,0.7,62.73333333,7.333333333
8.848,-2.1,75.56666667,2.366666667,248.929,0.9,60.4,8.166666667
17.617,-2.2,75.53333333,2.466666667,263.544,1.1,59.26666667,8.9
50.165,-2.4,73.16666667,3.266666667,276.658,1.4,57.26666667,9.633333333
76.788,-2,72.33333333,3.7,288.271,1.7,54.86666667,10.43333333
104.043,-1.6,70.73333333,4.433333333,299.884,1.9,52.76666667,11.3
129.56,-1.3,71.03333333,4.533333333,310.154,2.2,50.16666667,12.1
153.576,-0.8,69.43333333,5.366666667,321.767,2.1,47.23333333,12.46666667
175.459,-0.2,63.8,6.333333333,331.958,2,46.2,13.06666667
196.552,0.1,64.73333333,6.2,336.303,2.3,45.3,13.56666667
216.934,0.5,64.3,6.633333333,345.072,2.8,42.96666667,14.1
232.971,0.7,62.73333333,7.333333333,347.995,2.7,42.56666667,14.86666667
248.929,0.9,60.4,8.166666667,350.918,2.8,41.43333333,15.53333333
263.544,1.1,59.26666667,8.9,362.531,3.3,40.43333333,16.3
276.658,1.4,57.26666667,9.633333333,365.454,3.5,37.36666667,17.26666667
288.271,1.7,54.86666667,10.43333333,366.876,3.6,35.23333333,18.2
299.884,1.9,52.76666667,11.3,371.3,3.3,35.13333333,18.63333333
310.154,2.2,50.16666667,12.1,371.3,3.3,34.03333333,19.66666667
321.767,2.1,47.23333333,12.46666667,372.722,3.6,33.03333333,20.33333333
331.958,2,46.2,13.06666667,372.722,3.6,33.86666667,20.6
336.303,2.3,45.3,13.56666667,368.377,4,34.3,20.83333333
345.072,2.8,42.96666667,14.1,364.032,4.2,32.13333333,20.96666667
347.995,2.7,42.56666667,14.86666667,365.454,4.1,31.66666667,21.4
350.918,2.8,41.43333333,15.53333333,361.109,4.2,31.76666667,21.83333333
362.531,3.3,40.43333333,16.3,359.608,4.3,32.66666667,21.76666667
365.454,3.5,37.36666667,17.26666667,352.34,4.5,31.2,21.73333333
366.876,3.6,35.23333333,18.2,347.995,4.4,32.06666667,21.53333333
371.3,3.3,35.13333333,18.63333333,336.303,4.5,33.6,21.03333333
371.3,3.3,34.03333333,19.66666667,324.69,4.5,31.16666667,20.96666667
372.722,3.6,33.03333333,20.33333333,317.422,4.7,31.9,21.06666667
372.722,3.6,33.86666667,20.6,310.154,4.8,32.73333333,20.93333333
368.377,4,34.3,20.83333333,301.385,4.5,32.56666667,20.56666667
364.032,4.2,32.13333333,20.96666667,288.271,4.4,30.1,20.3
365.454,4.1,31.66666667,21.4,276.658,4.5,29.93333333,19.7
361.109,4.2,31.76666667,21.83333333,257.698,4.6,30.56666667,18.66666667
359.608,4.3,32.66666667,21.76666667,241.661,4.4,31.66666667,17.66666667
352.34,4.5,31.2,21.73333333,218.356,4.6,32.1,17
347.995,4.4,32.06666667,21.53333333,199.475,4.6,32.93333333,16.06666667
336.303,4.5,33.6,21.03333333,171.035,4.6,33.9,15.03333333
324.69,4.5,31.16666667,20.96666667,118.658,4.4,36.03333333,14.2
317.422,4.7,31.9,21.06666667,52.772,4.4,37.46666667,13.36666667
310.154,4.8,32.73333333,20.93333333,43.45,4.1,38.76666667,12.56666667
